County,Code,Last Updated
Alachua,ALA,2026-08-17 15:10:25
Baker,BAK,2026-08-17 15:10:25
Bay,BAY,2026-08-17 15:10:25
Bradford,BRA,2026-08-17 15:10:25
Brevard,BRE,2026-08-17 15:10:25
Broward,BRO,2026-08-17 15:10:25
Calhoun,CAL,2026-08-17 15:10:25
Charlotte,CHA,2026-08-17 15:10:25
Citrus,CIT,2026-08-17 15:10:25
Clay,CLA,2026-08-17 15:10:25
Collier,CLL,2026-08-17 15:10:25
Columbia,CLM,2026-08-17 15:10:25
DeSoto,DES,2026-08-17 15:10:25
Dixie,DIX,2026-08-17 15:10:25
Duval,DUV,2026-08-17 15:10:25
Escambia,ESC,2026-08-17 15:10:25
Flagler,FLA,2026-08-17 15:10:25
Franklin,FRA,2026-08-17 15:10:25
Gadsden,GAD,2026-08-17 15:10:25
Gilchrist,GIL,2026-08-17 15:10:25
Glades,GLA,2026-08-17 15:10:25
Gulf,GUL,2026-08-17 15:10:25
Hamilton,HAM,2026-08-17 15:10:25
Hardee,HAR,2026-08-17 15:10:25
Hendry,HEN,2026-08-17 15:10:25
Hernando,HER,2026-08-17 15:10:25
Highlands,HIG,2026-08-17 15:10:25
Hillsborough,HIL,2026-08-17 15:10:25
Holmes,HOL,2026-08-17 15:10:25
Indian River,IND,2026-08-17 15:10:25
Jackson,JAC,2026-08-17 15:10:25
Jefferson,JEF,2026-08-17 15:10:25
Lafayette,LAF,2026-08-17 15:10:25
Lake,LAK,2026-08-17 15:10:25
Lee,LEE,2026-08-17 15:10:25
Leon,LEO,2026-08-17 15:10:25
Levy,LEV,2026-08-17 15:10:25
Liberty,LIB,2026-08-17 15:10:25
Madison,MAD,2026-08-17 15:10:25
Manatee,MAN,2026-08-17 15:10:25
Marion,MRN,2026-08-17 15:10:25
Martin,MRT,2026-08-17 15:10:25
Miami-Dade,DAD,2026-08-17 15:10:25
Monroe,MON,2026-08-17 15:10:25
Nassau,NAS,2026-08-17 15:10:25
Okaloosa,OKA,2026-08-17 15:10:25
Okeechobee,OKE,2026-08-17 15:10:25
Orange,ORA,2026-08-17 15:10:25
Osceola,OSC,2026-08-17 15:10:25
Palm Beach,PAL,2026-08-17 15:10:25
Pasco,PAS,2026-08-17 15:10:25
Pinellas,PIN,2026-08-17 15:10:25
Polk,POL,2026-08-17 15:10:25
Putnam,PUT,2026-08-17 15:10:25
Santa Rosa,SAN,2026-08-17 15:10:25
Sarasota,SAR,2026-08-17 15:10:25
Seminole,SEM,2026-08-17 15:10:25
St. Johns,STJ,2026-08-17 15:10:25
St. Lucie,STL,2026-08-17 15:10:25
Sumter,SUM,2026-08-17 15:10:25
Suwannee,SUW,2026-08-17 15:10:25
Taylor,TAY,2026-08-17 15:10:25
Union,UNI,2026-08-17 15:10:25
Volusia,VOL,2026-08-17 15:10:25
Wakulla,WAK,2026-08-17 15:10:25
Walton,WAL,2026-08-17 15:10:25
Washington,WAS,2026-08-17 15:10:25
