Timestamp,County_x,Code,DEM,REP,IND,NPA,OTHER,DEM VBM,DEM EV,DEM ED,REP VBM,REP EV,REP ED,NPA VBM,NPA EV,NPA ED,OTHER VBM,OTHER EV,OTHER ED,TOTAL,DEM %,REP %,D Raw Margin,R Raw Margin,Diff,Signed Margin,Leader,Rating,DEM New,REP New,IND New,NPA New,OTHER New,Total New,Margin Move,Rating Change,Rating Move,Margin Diff,County_y,Last Updated
2026-08-17 15:10:25,Alachua,ALA,15519,6751,246,2447,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25039,0.6968567579703637,0.3031432420296363,8768,-8768,0.39371351594072745,0.39371351594072745,D,Safe,12021,5234,148,1582,54,19039,0.0,No,,-0.13% toward Republicans,Alachua,2026-08-17 15:10:25
2026-08-17 15:10:25,Baker,BAK,401,2783,14,113,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3320,0.1259422110552764,0.8740577889447236,-2382,2382,0.7481155778894473,-0.7481155778894473,R,Safe,315,2483,12,88,9,2907,0.0,No,,-19.37% toward Republicans,Baker,2026-08-17 15:10:25
2026-08-17 15:10:25,Bay,BAY,3972,12827,143,1141,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18132,0.23644264539555926,0.7635573546044407,-8855,8855,0.5271147092088815,-0.5271147092088815,R,Safe,2773,10559,90,654,36,14112,0.0,No,,-21.88% toward Republicans,Bay,2026-08-17 15:10:25
2026-08-17 15:10:25,Bradford,BRA,442,1477,2,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950,0.2303282959874935,0.7696717040125065,-1035,1035,0.539343408025013,-0.539343408025013,R,Safe,314,1099,1,16,0,1430,0.0,No,,-4.53% toward Republicans,Bradford,2026-08-17 15:10:25
2026-08-17 15:10:25,Brevard,BRE,24154,34727,861,7003,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66924,0.41021721777823067,0.5897827822217694,-10573,10573,0.17956556444353872,-0.17956556444353872,R,Safe,16166,26261,496,4027,122,47072,-0.15051487768044172,Yes,Toss Up R → Safe R,-15.05% toward Republicans,Brevard,2026-08-17 15:10:25
2026-08-17 15:10:25,Broward,BRO,88874,29148,0,13967,1331,47817.0,41057.0,0.0,13773.0,15375.0,0.0,9339.0,4628.0,0.0,839.0,492.0,0.0,133320,0.7530290962701869,0.2469709037298131,59726,-59726,0.5060581925403738,0.5060581925403738,D,Safe,81654,26581,-145,11911,1310,121311,0.0,No,,+3.06% toward Democrats,Broward,2026-08-17 15:10:25
2026-08-17 15:10:25,Calhoun,CAL,326,1162,1,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535,0.21908602150537634,0.7809139784946236,-836,836,0.5618279569892473,-0.5618279569892473,R,Safe,205,889,1,35,0,1130,0.0,No,,-17.60% toward Republicans,Calhoun,2026-08-17 15:10:25
2026-08-17 15:10:25,Charlotte,CHA,8148,16268,486,3217,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28217,0.33371559633027525,0.6662844036697247,-8120,8120,0.3325688073394495,-0.3325688073394495,R,Safe,4203,10764,215,1406,54,16642,0.0,No,,-16.76% toward Republicans,Charlotte,2026-08-17 15:10:25
2026-08-17 15:10:25,Citrus,CIT,5939,14787,395,2684,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23893,0.28654829682524363,0.7134517031747564,-8848,8848,0.42690340634951274,-0.42690340634951274,R,Safe,3250,10110,201,1317,56,14934,0.0,No,,-15.70% toward Republicans,Citrus,2026-08-17 15:10:25
2026-08-17 15:10:25,Clay,CLA,5159,13776,153,1408,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20545,0.2724584103512015,0.7275415896487986,-8617,8617,0.45508317929759706,-0.45508317929759706,R,Safe,3608,11258,91,852,35,15844,0.0,No,,-21.74% toward Republicans,Clay,2026-08-17 15:10:25
